alert_id,room_id,alert_type,message,triggered_at,is_read
ALT-2020-01-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-01-06T19:00:00Z,False
ALT-2020-01-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-01-06T21:00:00Z,False
ALT-2020-01-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-01-07T06:00:00Z,False
ALT-2020-01-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-01-07T14:00:00Z,False
ALT-2020-02-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-02-03T10:00:00Z,False
ALT-2020-02-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-02-03T19:00:00Z,False
ALT-2020-02-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-02-04T04:00:00Z,False
ALT-2020-02-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-02-04T14:00:00Z,False
ALT-2020-02-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-02-04T18:00:00Z,False
ALT-2020-02-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-02-04T23:00:00Z,False
ALT-2020-02-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-02-05T08:00:00Z,False
ALT-2020-02-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-02-05T09:00:00Z,False
ALT-2020-02-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-02-05T11:00:00Z,False
ALT-2020-02-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-02-05T13:00:00Z,False
ALT-2020-02-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-02-05T18:00:00Z,False
ALT-2020-02-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-02-05T18:00:00Z,False
ALT-2020-02-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-02-05T23:00:00Z,False
ALT-2020-02-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-02-06T06:00:00Z,False
ALT-2020-02-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-02-06T12:00:00Z,False
ALT-2020-02-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-02-06T13:00:00Z,False
ALT-2020-02-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-02-06T16:00:00Z,False
ALT-2020-02-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-02-06T18:00:00Z,False
ALT-2020-02-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-02-06T23:00:00Z,False
ALT-2020-02-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-02-07T12:00:00Z,False
ALT-2020-03-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-03-04T01:00:00Z,False
ALT-2020-03-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-03-04T16:00:00Z,False
ALT-2020-03-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-03-04T20:00:00Z,False
ALT-2020-03-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-03-05T15:00:00Z,False
ALT-2020-03-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-03-05T20:00:00Z,False
ALT-2020-03-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-03-05T20:00:00Z,False
ALT-2020-03-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-03-06T11:00:00Z,False
ALT-2020-03-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-03-06T17:00:00Z,False
ALT-2020-03-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-03-06T21:00:00Z,False
ALT-2020-03-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-03-06T23:00:00Z,False
ALT-2020-03-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-03-07T03:00:00Z,False
ALT-2020-03-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-03-07T05:00:00Z,False
ALT-2020-03-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-03-07T05:00:00Z,False
ALT-2020-03-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-03-07T08:00:00Z,False
ALT-2020-03-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-03-07T17:00:00Z,False
ALT-2020-03-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-03-08T04:00:00Z,False
ALT-2020-03-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-03-08T07:00:00Z,False
ALT-2020-03-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-03-08T09:00:00Z,False
ALT-2020-03-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-03-08T12:00:00Z,False
ALT-2020-03-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-03-08T18:00:00Z,False
ALT-2020-04-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-04-04T12:00:00Z,False
ALT-2020-04-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-04-04T14:00:00Z,False
ALT-2020-04-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-04-05T09:00:00Z,False
ALT-2020-04-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-04-05T09:00:00Z,False
ALT-2020-04-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-04-05T21:00:00Z,False
ALT-2020-04-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-04-05T21:00:00Z,False
ALT-2020-04-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-04-06T07:00:00Z,False
ALT-2020-04-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-04-06T12:00:00Z,False
ALT-2020-04-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-04-06T14:00:00Z,False
ALT-2020-04-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-04-06T21:00:00Z,False
ALT-2020-04-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-04-07T02:00:00Z,False
ALT-2020-04-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-04-07T05:00:00Z,False
ALT-2020-04-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-04-07T06:00:00Z,False
ALT-2020-04-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-04-07T13:00:00Z,False
ALT-2020-04-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-04-07T16:00:00Z,False
ALT-2020-04-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-04-07T21:00:00Z,False
ALT-2020-04-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-04-07T23:00:00Z,False
ALT-2020-04-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-04-08T09:00:00Z,False
ALT-2020-04-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-04-08T15:00:00Z,False
ALT-2020-04-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-04-09T07:00:00Z,False
ALT-2020-05-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-05-04T08:00:00Z,False
ALT-2020-05-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-05-04T11:00:00Z,False
ALT-2020-05-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-05-05T07:00:00Z,False
ALT-2020-05-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-05-05T09:00:00Z,False
ALT-2020-05-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-05-05T09:00:00Z,False
ALT-2020-05-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-05-05T22:00:00Z,False
ALT-2020-05-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-05-06T09:00:00Z,False
ALT-2020-05-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-05-06T13:00:00Z,False
ALT-2020-05-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-05-06T17:00:00Z,False
ALT-2020-05-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-05-06T17:00:00Z,False
ALT-2020-05-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-05-06T18:00:00Z,False
ALT-2020-05-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-05-06T19:00:00Z,False
ALT-2020-05-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-05-07T07:00:00Z,False
ALT-2020-05-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-05-07T09:00:00Z,False
ALT-2020-05-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-05-07T17:00:00Z,False
ALT-2020-05-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-05-07T22:00:00Z,False
ALT-2020-05-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-05-07T23:00:00Z,False
ALT-2020-05-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-05-08T08:00:00Z,False
ALT-2020-05-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-05-08T09:00:00Z,False
ALT-2020-05-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-05-08T21:00:00Z,False
ALT-2020-06-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-06-03T19:00:00Z,False
ALT-2020-06-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-06-03T20:00:00Z,False
ALT-2020-06-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-06-04T13:00:00Z,False
ALT-2020-06-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-06-04T15:00:00Z,False
ALT-2020-06-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-06-04T18:00:00Z,False
ALT-2020-06-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-06-05T02:00:00Z,False
ALT-2020-06-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-06-05T04:00:00Z,False
ALT-2020-06-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-06-05T13:00:00Z,False
ALT-2020-06-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-06-05T16:00:00Z,False
ALT-2020-06-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-06-05T18:00:00Z,False
ALT-2020-06-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-06-05T19:00:00Z,False
ALT-2020-06-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-06-05T20:00:00Z,False
ALT-2020-06-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-06-05T21:00:00Z,False
ALT-2020-06-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-06-05T23:00:00Z,False
ALT-2020-06-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-06-06T06:00:00Z,False
ALT-2020-06-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-06-06T16:00:00Z,False
ALT-2020-06-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-06-06T17:00:00Z,False
ALT-2020-06-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-06-06T20:00:00Z,False
ALT-2020-06-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-06-06T21:00:00Z,False
ALT-2020-06-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-06-07T02:00:00Z,False
ALT-2020-07-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-07-03T20:00:00Z,False
ALT-2020-07-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-07-03T20:00:00Z,False
ALT-2020-07-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-07-04T13:00:00Z,False
ALT-2020-07-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-07-04T14:00:00Z,False
ALT-2020-07-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-07-04T20:00:00Z,False
ALT-2020-07-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-07-04T22:00:00Z,False
ALT-2020-07-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-07-04T22:00:00Z,False
ALT-2020-07-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-07-05T12:00:00Z,False
ALT-2020-07-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-07-05T13:00:00Z,False
ALT-2020-07-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-07-05T14:00:00Z,False
ALT-2020-07-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-07-05T17:00:00Z,False
ALT-2020-07-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-07-05T18:00:00Z,False
ALT-2020-07-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-07-05T20:00:00Z,False
ALT-2020-07-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-07-05T20:00:00Z,False
ALT-2020-07-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-07-05T23:00:00Z,False
ALT-2020-07-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-07-06T15:00:00Z,False
ALT-2020-07-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-07-06T16:00:00Z,False
ALT-2020-07-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-07-06T16:00:00Z,False
ALT-2020-07-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-07-06T21:00:00Z,False
ALT-2020-07-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-07-07T09:00:00Z,False
ALT-2020-08-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-08-03T13:00:00Z,False
ALT-2020-08-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-08-03T18:00:00Z,False
ALT-2020-08-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-08-04T07:00:00Z,False
ALT-2020-08-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-08-04T11:00:00Z,False
ALT-2020-08-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-08-04T18:00:00Z,False
ALT-2020-08-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-08-04T20:00:00Z,False
ALT-2020-08-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-08-04T21:00:00Z,False
ALT-2020-08-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-08-05T04:00:00Z,False
ALT-2020-08-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-08-05T10:00:00Z,False
ALT-2020-08-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-08-05T15:00:00Z,False
ALT-2020-08-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-08-05T16:00:00Z,False
ALT-2020-08-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-08-05T19:00:00Z,False
ALT-2020-08-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-08-05T22:00:00Z,False
ALT-2020-08-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-08-05T22:00:00Z,False
ALT-2020-08-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-08-05T22:00:00Z,False
ALT-2020-08-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-08-06T08:00:00Z,False
ALT-2020-08-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-08-06T13:00:00Z,False
ALT-2020-08-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-08-06T18:00:00Z,False
ALT-2020-08-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-08-06T20:00:00Z,False
ALT-2020-08-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-08-07T08:00:00Z,False
ALT-2020-09-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-09-03T17:00:00Z,False
ALT-2020-09-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-09-03T19:00:00Z,False
ALT-2020-09-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-09-04T12:00:00Z,False
ALT-2020-09-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-09-04T12:00:00Z,False
ALT-2020-09-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-09-04T21:00:00Z,False
ALT-2020-09-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-09-05T01:00:00Z,False
ALT-2020-09-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-09-05T09:00:00Z,False
ALT-2020-09-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-09-05T14:00:00Z,False
ALT-2020-09-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-09-05T14:00:00Z,False
ALT-2020-09-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-09-05T14:00:00Z,False
ALT-2020-09-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-09-05T19:00:00Z,False
ALT-2020-09-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-09-05T21:00:00Z,False
ALT-2020-09-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-09-05T21:00:00Z,False
ALT-2020-09-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-09-06T02:00:00Z,False
ALT-2020-09-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-09-06T09:00:00Z,False
ALT-2020-09-R-102-LIMIT,R-102,limit_exceeded,Penggunaan R-102 melewati batas bulanan 50 kWh.,2020-09-06T12:00:00Z,False
ALT-2020-09-R-106-LIMIT,R-106,limit_exceeded,Penggunaan R-106 melewati batas bulanan 50 kWh.,2020-09-06T15:00:00Z,False
ALT-2020-09-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-09-06T15:00:00Z,False
ALT-2020-09-R-104-LIMIT,R-104,limit_exceeded,Penggunaan R-104 melewati batas bulanan 50 kWh.,2020-09-06T20:00:00Z,False
ALT-2020-09-R-108-LIMIT,R-108,limit_exceeded,Penggunaan R-108 melewati batas bulanan 50 kWh.,2020-09-07T07:00:00Z,False
ALT-2020-10-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-10-04T08:00:00Z,False
ALT-2020-10-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-10-04T15:00:00Z,False
ALT-2020-10-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-10-05T05:00:00Z,False
ALT-2020-10-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-10-05T11:00:00Z,False
ALT-2020-10-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-10-05T18:00:00Z,False
ALT-2020-10-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-10-05T20:00:00Z,False
ALT-2020-10-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-10-06T08:00:00Z,False
ALT-2020-10-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-10-06T10:00:00Z,False
ALT-2020-10-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-10-06T10:00:00Z,False
