billing_id,room_id,period,total_kwh,total_amount_idr,status,generated_at
BILL-2015-09-R-102,R-102,2015-09,174.0420,251438,generated,2015-09-01T00:00:00Z
BILL-2015-10-R-102,R-102,2015-10,196.7880,284300,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-102,R-102,2015-11,189.9100,274363,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-102,R-102,2015-12,209.2430,302293,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-102,R-102,2016-01,246.3300,355873,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-102,R-102,2016-02,224.7600,324711,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-102,R-102,2016-03,217.2080,313800,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-102,R-102,2016-04,190.2570,274864,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-102,R-102,2016-05,223.2550,322536,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-102,R-102,2016-06,195.3750,282258,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-102,R-102,2016-07,184.3200,266287,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-102,R-102,2016-08,163.5600,236295,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-102,R-102,2016-09,217.3700,314034,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-102,R-102,2016-10,264.2000,381690,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-102,R-102,2016-11,296.3550,428144,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-102,R-102,2016-12,296.2950,428057,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-102,R-102,2017-01,309.8550,447648,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-102,R-102,2017-02,5.5750,8054,generated,2017-02-01T00:00:00Z
BILL-2016-02-R-103,R-103,2016-02,20.3180,29353,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-103,R-103,2016-03,349.6280,505108,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-103,R-103,2016-04,307.9100,444838,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-103,R-103,2016-05,274.3250,396317,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-103,R-103,2016-06,241.2590,348547,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-103,R-103,2016-07,248.9620,359675,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-103,R-103,2016-08,205.7050,297182,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-103,R-103,2016-09,259.6330,375092,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-103,R-103,2016-10,401.7690,580436,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-103,R-103,2016-11,355.1000,513013,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-103,R-103,2016-12,414.5120,598845,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-103,R-103,2017-01,502.0000,725239,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-103,R-103,2017-02,343.8100,496702,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-103,R-103,2017-03,326.7900,472114,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-103,R-103,2017-04,273.6600,395357,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-103,R-103,2017-05,224.7350,324675,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-103,R-103,2017-06,183.5700,265204,generated,2017-06-01T00:00:00Z
BILL-2017-07-R-103,R-103,2017-07,844.0740,1219434,generated,2017-07-01T00:00:00Z
BILL-2015-10-R-104,R-104,2015-10,193.5980,279691,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-104,R-104,2015-11,330.7150,477784,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-104,R-104,2015-12,629.6160,909606,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-104,R-104,2016-01,714.7580,1032611,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-104,R-104,2016-02,519.8710,751058,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-104,R-104,2016-03,406.1910,586824,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-104,R-104,2016-04,176.0620,254357,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-104,R-104,2016-05,103.1830,149068,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-104,R-104,2016-06,92.6010,133781,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-104,R-104,2016-07,89.3120,129029,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-104,R-104,2016-08,79.1820,114394,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-104,R-104,2016-09,125.8780,181856,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-104,R-104,2016-10,269.8330,389828,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-104,R-104,2016-11,563.8890,814650,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-104,R-104,2016-12,778.8290,1125174,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-104,R-104,2017-01,1068.1980,1543226,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-104,R-104,2017-02,570.7560,824571,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-104,R-104,2017-03,345.9640,499814,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-104,R-104,2017-04,209.0530,302019,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-104,R-104,2017-05,130.2870,188226,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-104,R-104,2017-06,85.8440,124019,generated,2017-06-01T00:00:00Z
BILL-2017-07-R-104,R-104,2017-07,117.7450,170106,generated,2017-07-01T00:00:00Z
BILL-2017-08-R-104,R-104,2017-08,146.4540,211582,generated,2017-08-01T00:00:00Z
BILL-2017-09-R-104,R-104,2017-09,125.6520,181529,generated,2017-09-01T00:00:00Z
BILL-2017-10-R-104,R-104,2017-10,241.5440,348959,generated,2017-10-01T00:00:00Z
BILL-2017-11-R-104,R-104,2017-11,665.5970,961588,generated,2017-11-01T00:00:00Z
BILL-2017-12-R-104,R-104,2017-12,689.2640,995780,generated,2017-12-01T00:00:00Z
BILL-2018-01-R-104,R-104,2018-01,687.7750,993629,generated,2018-01-01T00:00:00Z
BILL-2018-02-R-104,R-104,2018-02,89.3830,129132,generated,2018-02-01T00:00:00Z
BILL-2015-10-R-105,R-105,2015-10,38.6900,55895,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-105,R-105,2015-11,197.7400,285675,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-105,R-105,2015-12,263.6850,380946,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-105,R-105,2016-01,330.3400,477242,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-105,R-105,2016-02,260.4090,376213,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-105,R-105,2016-03,263.6600,380910,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-105,R-105,2016-04,187.2470,270516,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-105,R-105,2016-05,154.4480,223131,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-105,R-105,2016-06,186.7800,269841,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-105,R-105,2016-07,189.5220,273802,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-105,R-105,2016-08,134.9250,194926,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-105,R-105,2016-09,160.5500,231947,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-105,R-105,2016-10,246.5850,356241,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-105,R-105,2016-11,261.7700,378179,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-105,R-105,2016-12,300.4880,434115,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-105,R-105,2017-01,295.1200,426360,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-105,R-105,2017-02,277.0150,400204,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-105,R-105,2017-03,251.3020,363056,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-105,R-105,2017-04,198.4700,286730,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-105,R-105,2017-05,204.3000,295152,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-105,R-105,2017-06,155.5000,224651,generated,2017-06-01T00:00:00Z
BILL-2017-07-R-105,R-105,2017-07,221.7800,320406,generated,2017-07-01T00:00:00Z
BILL-2017-08-R-105,R-105,2017-08,162.9900,235472,generated,2017-08-01T00:00:00Z
BILL-2017-09-R-105,R-105,2017-09,206.2400,297955,generated,2017-09-01T00:00:00Z
BILL-2017-10-R-105,R-105,2017-10,240.8950,348021,generated,2017-10-01T00:00:00Z
BILL-2017-11-R-105,R-105,2017-11,280.5460,405305,generated,2017-11-01T00:00:00Z
BILL-2017-12-R-105,R-105,2017-12,303.8790,439014,generated,2017-12-01T00:00:00Z
BILL-2018-01-R-105,R-105,2018-01,254.2800,367358,generated,2018-01-01T00:00:00Z
BILL-2018-02-R-105,R-105,2018-02,245.3250,354421,generated,2018-02-01T00:00:00Z
BILL-2018-03-R-105,R-105,2018-03,277.0600,400269,generated,2018-03-01T00:00:00Z
BILL-2018-04-R-105,R-105,2018-04,199.2550,287864,generated,2018-04-01T00:00:00Z
BILL-2018-05-R-105,R-105,2018-05,176.6450,255199,generated,2018-05-01T00:00:00Z
BILL-2018-06-R-105,R-105,2018-06,154.7450,223560,generated,2018-06-01T00:00:00Z
BILL-2018-07-R-105,R-105,2018-07,184.2550,266193,generated,2018-07-01T00:00:00Z
BILL-2018-08-R-105,R-105,2018-08,100.0960,144609,generated,2018-08-01T00:00:00Z
BILL-2018-09-R-105,R-105,2018-09,130.2380,188155,generated,2018-09-01T00:00:00Z
BILL-2018-10-R-105,R-105,2018-10,146.4140,211524,generated,2018-10-01T00:00:00Z
BILL-2018-11-R-105,R-105,2018-11,139.8780,202082,generated,2018-11-01T00:00:00Z
BILL-2018-12-R-105,R-105,2018-12,145.1180,209652,generated,2018-12-01T00:00:00Z
BILL-2019-01-R-105,R-105,2019-01,145.1070,209636,generated,2019-01-01T00:00:00Z
BILL-2019-02-R-105,R-105,2019-02,131.2390,189601,generated,2019-02-01T00:00:00Z
BILL-2019-03-R-105,R-105,2019-03,161.4740,233281,generated,2019-03-01T00:00:00Z
BILL-2019-04-R-105,R-105,2019-04,199.2100,287799,generated,2019-04-01T00:00:00Z
BILL-2019-05-R-105,R-105,2019-05,8.5400,12338,generated,2019-05-01T00:00:00Z
BILL-2015-10-R-106,R-106,2015-10,105.5550,152495,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-106,R-106,2015-11,451.8400,652773,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-106,R-106,2015-12,478.3270,691039,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-106,R-106,2016-01,480.4600,694121,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-106,R-106,2016-02,449.7790,649796,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-106,R-106,2016-03,484.9390,700591,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-106,R-106,2016-04,463.8120,670069,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-106,R-106,2016-05,309.5320,447181,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-106,R-106,2016-06,96.1700,138937,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-106,R-106,2016-07,28.5400,41232,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-106,R-106,2016-08,18.4800,26698,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-106,R-106,2016-09,64.1550,92685,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-106,R-106,2016-10,193.7800,279954,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-106,R-106,2016-11,338.7400,489378,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-106,R-106,2016-12,370.4900,535247,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-106,R-106,2017-01,479.2600,692387,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-106,R-106,2017-02,274.2050,396144,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-106,R-106,2017-03,123.8400,178912,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-106,R-106,2017-04,63.9000,92316,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-106,R-106,2017-05,32.4900,46938,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-106,R-106,2017-06,25.9000,37418,generated,2017-06-01T00:00:00Z
BILL-2017-07-R-106,R-106,2017-07,21.6810,31323,generated,2017-07-01T00:00:00Z
BILL-2017-08-R-106,R-106,2017-08,57.8690,83603,generated,2017-08-01T00:00:00Z
BILL-2017-09-R-106,R-106,2017-09,83.8250,121102,generated,2017-09-01T00:00:00Z
BILL-2017-10-R-106,R-106,2017-10,200.1500,289157,generated,2017-10-01T00:00:00Z
BILL-2017-11-R-106,R-106,2017-11,348.0200,502784,generated,2017-11-01T00:00:00Z
BILL-2017-12-R-106,R-106,2017-12,401.7600,580423,generated,2017-12-01T00:00:00Z
BILL-2018-01-R-106,R-106,2018-01,364.4050,526456,generated,2018-01-01T00:00:00Z
BILL-2018-02-R-106,R-106,2018-02,307.0650,443617,generated,2018-02-01T00:00:00Z
BILL-2018-03-R-106,R-106,2018-03,209.7610,303042,generated,2018-03-01T00:00:00Z
BILL-2018-04-R-106,R-106,2018-04,18.1890,26278,generated,2018-04-01T00:00:00Z
BILL-2015-10-R-107,R-107,2015-10,164.4710,237611,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-107,R-107,2015-11,334.2500,482891,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-107,R-107,2015-12,279.9230,404405,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-107,R-107,2016-01,331.0520,478271,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-107,R-107,2016-02,326.9820,472391,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-107,R-107,2016-03,351.7350,508152,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-107,R-107,2016-04,354.8400,512637,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-107,R-107,2016-05,343.1860,495801,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-107,R-107,2016-06,323.9240,467973,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-107,R-107,2016-07,336.6150,486308,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-107,R-107,2016-08,343.7360,496595,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-107,R-107,2016-09,357.5140,516500,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-107,R-107,2016-10,333.2610,481462,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-107,R-107,2016-11,300.7190,434449,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-107,R-107,2016-12,217.8810,314773,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-107,R-107,2017-01,208.4200,301104,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-107,R-107,2017-02,235.5300,340270,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-107,R-107,2017-03,262.1710,378758,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-107,R-107,2017-04,250.9610,362563,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-107,R-107,2017-05,291.3650,420935,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-107,R-107,2017-06,31.8090,45954,generated,2017-06-01T00:00:00Z
BILL-2015-10-R-108,R-108,2015-10,805.3420,1163478,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-108,R-108,2015-11,1568.3730,2265828,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-108,R-108,2015-12,1577.7370,2279357,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-108,R-108,2016-01,1496.8240,2162462,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-108,R-108,2016-02,1552.3720,2242712,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-108,R-108,2016-03,1635.7250,2363132,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-108,R-108,2016-04,1432.5410,2069592,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-108,R-108,2016-05,1381.1200,1995304,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-108,R-108,2016-06,1456.1950,2103765,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-108,R-108,2016-07,1494.7360,2159445,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-108,R-108,2016-08,1575.3110,2275852,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-108,R-108,2016-09,1512.9180,2185713,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-108,R-108,2016-10,1494.2910,2158802,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-108,R-108,2016-11,1480.1910,2138432,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-108,R-108,2016-12,1050.0750,1517043,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-108,R-108,2017-01,1090.0150,1574745,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-108,R-108,2017-02,1358.3030,1962340,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-108,R-108,2017-03,1521.5250,2198147,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-108,R-108,2017-04,1392.5650,2011839,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-108,R-108,2017-05,1632.2110,2358055,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-108,R-108,2017-06,166.9690,241220,generated,2017-06-01T00:00:00Z
BILL-2015-10-R-109,R-109,2015-10,175.2570,253194,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-109,R-109,2015-11,348.4050,503341,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-109,R-109,2015-12,210.4050,303972,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-109,R-109,2016-01,208.3550,301010,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-109,R-109,2016-02,372.6970,538435,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-109,R-109,2016-03,362.8100,524152,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-109,R-109,2016-04,332.3700,480175,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-109,R-109,2016-05,307.0680,443621,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-109,R-109,2016-06,208.4550,301155,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-109,R-109,2016-07,393.0390,567823,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-109,R-109,2016-08,338.7810,489437,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-109,R-109,2016-09,261.8100,378237,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-109,R-109,2016-10,194.3040,280711,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-109,R-109,2016-11,345.3000,498855,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-109,R-109,2016-12,218.2600,315320,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-109,R-109,2017-01,167.3100,241713,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-109,R-109,2017-02,268.2160,387492,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-109,R-109,2017-03,267.7600,386833,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-109,R-109,2017-04,282.0950,407543,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-109,R-109,2017-05,229.6500,331775,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-109,R-109,2017-06,19.5100,28186,generated,2017-06-01T00:00:00Z
BILL-2015-10-R-110,R-110,2015-10,1788.2360,2583465,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-110,R-110,2015-11,1925.3280,2781521,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-110,R-110,2015-12,1391.5000,2010300,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-110,R-110,2016-01,1429.0860,2064601,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-110,R-110,2016-02,2584.0080,3733116,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-110,R-110,2016-03,1174.2030,1696371,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-110,R-110,2016-04,2581.9220,3730103,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-110,R-110,2016-05,1899.0020,2743488,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-110,R-110,2016-06,1991.6570,2877347,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-110,R-110,2016-07,2003.3670,2894264,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-110,R-110,2016-08,2584.0780,3733217,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-110,R-110,2016-09,2731.0780,3945588,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-110,R-110,2016-10,1657.4220,2394478,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-110,R-110,2016-11,2733.9220,3949697,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-110,R-110,2016-12,1905.4840,2752853,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-110,R-110,2017-01,1215.5160,1756056,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-110,R-110,2017-02,2219.5940,3206647,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-110,R-110,2017-03,2821.3350,4075983,generated,2017-03-01T00:00:00Z
BILL-2017-04-R-110,R-110,2017-04,2610.1020,3770814,generated,2017-04-01T00:00:00Z
BILL-2017-05-R-110,R-110,2017-05,3246.9840,4690918,generated,2017-05-01T00:00:00Z
BILL-2017-06-R-110,R-110,2017-06,238.7820,344968,generated,2017-06-01T00:00:00Z
